编号,倒焊日期,芯片号,压连情况（-1，0，1，2）,电路端铟柱高度（μm）,芯片端铟柱高度（μm）,倒焊压力（kg）,倒焊机状态是否变更,铟柱上底（CD）,铟柱下底（CD）,调平方式,电路激光数据1,电路激光数据2,电路激光数据3,电路激光数据4,芯片激光数据1,芯片激光数据2,芯片激光数据3,芯片激光数据4,电路铟柱高度1,电路铟柱高度2,电路铟柱高度3,电路铟柱高度4,电路铟柱高度5,芯片铟柱高度1,芯片铟柱高度2,芯片铟柱高度3,芯片铟柱高度4,芯片铟柱高度5,设备开关机状态,设备报警代码,设备温度
1,2025.01.03,B241211-1-4# M1,0,6.56,6.61,22,,6.24,11.18,激光,,,,,,,,,,,,,,,,,,,,,真空度：-866 T:19.8℃
2,2025.01.16,B241211-1-1# M4,1,6.56,6.47,22,,5.16,11.1,激光,,,,,,,,,,,,,,,,,,,,,真空度：-874 T:19.7℃
3,2025.01.16,B241211-1-1# M6,1,6.56,6.47,22,,5.16,11.1,十字,,,,,,,,,,,,,,,,,,,,,真空度：-874 T:19.8℃
4,2025.01.17,B241211-1-4# M8,1,6.56,6.61,22,,6.24,11.18,激光,,,,,,,,,,,,,,,,,,,,,真空度：-866 T:19.8℃
5,2025.01.18,B241211-1-7# M1,0,6.56,6.38,22,,6.07,11.76,十字,,,,,,,,,,,,,,,,,,,,,真空度：-863 T:19.8℃
6,2025.01.21,B241211-1-1# M1,0,6.56,6.47,22,,5.16,11.1,激光,,,,,,,,,,,,,,,,,,,,,真空度：-865 T:19.8℃
7,2025.01.21,B241227-1-1# M3,0,6.56,6.34,22,,5.16,11.1,激光,,,,,,,,,,,,,,,,,,,,,真空度：-963 T:19.8℃
8,2025.02.18,B241211-1-7# M4,1,5.85,6.38,22,,6.07,11.76,十字,,,,,,,,,,,,,,,,,,,,,真空度：-872 T:19.8℃
9,2025.02.19,B241211-1-7# M6,1,6.56,6.38,22,,6.07,11.76,十字,,,,,,,,,,,,,,,,,,,,,真空度：-874 T:19.8℃
10,2025.02.19,B241211-1-1# M7,1,5.85,6.47,22,,5.16,11.1,激光,,,,,,,,,,,,,,,,,,,,,真空度：-873 T:19.8℃
11,2025.02.19,B241211-1-7# M7,0,6.56,6.38,22,,6.07,11.76,激光,,,,,,,,,,,,,,,,,,,,,真空度：-870 T:19.8℃
12,2025.02.19,B241211-1-1# M3,1,6.56,6.47,22,,5.16,11.1,十字,,,,,,,,,,,,,,,,,,,,,真空度：-870 T:19.8℃
13,2025.02.20,B241211-1-7# M8,1,6.56,6.38,22,,6.07,11.76,十字,,,,,,,,,,,,,,,,,,,,,真空度：-875 T:19.8℃
14,2025.02.20,B241211-1-7# M9,1,6.56,6.38,22,,6.07,11.76,激光,,,,,,,,,,,,,,,,,,,,,真空度：-875 T:19.8℃
15,2025.02.23,B250102-1-4# M3,0,3.5-4.2,5.61,22,,,,激光,,,,,,,,,,,,,,,,,,,,,真空度：-882 T:19.8℃
