芯片号,Label_Pass,Total_Indium_Height,Force_kg,Equipment_Temp,Vacuum_Level,Position_Code,Wafer_Index,Batch_ID,Calc_Circuit_Range,Indium_Taper_Zscore,Time_Seq_Day,编号,倒焊日期,压连情况(-1，0，1，2),电路端铟柱高度(μm),芯片端铟柱高度(μm),倒焊压力(kg),铟柱上底(CD),铟柱下底(CD),调平方式,电路激光数据1,电路激光数据2,电路激光数据3,电路激光数据4,芯片激光数据1,芯片激光数据2,芯片激光数据3,芯片激光数据4,电路铟柱高度1,电路铟柱高度2,电路铟柱高度3,电路铟柱高度4,电路铟柱高度5,芯片铟柱高度1,芯片铟柱高度2,芯片铟柱高度3,芯片铟柱高度4,芯片铟柱高度5,设备温度,Semiconductor_Source,Date_String,Process_Date,Leveling_Mode,Is_Pass
B241211-1-4# M1,1,13.17,22,19.8,-866.0,M1,4.0,1.0,,-0.0448743575939759,0,1,2025-01-03,0,6.56,6.61,22,6.24,11.18,激光,,,,,,,,,,,,,,,,,,,,B,241211.0,2025-01-03,1,1
B241211-1-1# M4,1,13.03,22,19.7,-874.0,M4,1.0,1.0,,0.9512590114102056,13,2,2025-01-16,1,6.56,6.47,22,5.16,11.1,激光,,,,,,,,,,,,,,,,,,,,B,241211.0,2025-01-16,1,1
B241211-1-1# M6,1,13.03,22,19.8,-874.0,M6,1.0,1.0,,0.9512590114102056,13,3,2025-01-16,1,6.56,6.47,22,5.16,11.1,十字,,,,,,,,,,,,,,,,,,,,B,241211.0,2025-01-16,0,1
B241211-1-4# M8,1,13.17,22,19.8,-866.0,M8,4.0,1.0,,-0.0448743575939759,14,4,2025-01-17,1,6.56,6.61,22,6.24,11.18,激光,,,,,,,,,,,,,,,,,,,,B,241211.0,2025-01-17,1,1
B241211-1-7# M1,1,12.94,22,19.8,-863.0,M1,7.0,1.0,,0.7022256691591602,15,5,2025-01-18,0,6.56,6.38,22,6.07,11.76,十字,,,,,,,,,,,,,,,,,,,,B,241211.0,2025-01-18,0,1
B241211-1-1# M1,1,13.03,22,19.8,-865.0,M1,1.0,1.0,,0.9512590114102056,18,6,2025-01-21,0,6.56,6.47,22,5.16,11.1,激光,,,,,,,,,,,,,,,,,,,,B,241211.0,2025-01-21,1,1
B241227-1-1# M3,1,12.9,22,19.8,-963.0,M3,1.0,1.0,,0.9512590114102056,18,7,2025-01-21,0,6.56,6.34,22,5.16,11.1,激光,,,,,,,,,,,,,,,,,,,,B,241227.0,2025-01-21,1,1
B241211-1-7# M4,1,12.23,22,19.8,-872.0,M4,7.0,1.0,,0.7022256691591602,46,8,2025-02-18,1,5.85,6.38,22,6.07,11.76,十字,,,,,,,,,,,,,,,,,,,,B,241211.0,2025-02-18,0,1
B241211-1-7# M6,1,12.94,22,19.8,-874.0,M6,7.0,1.0,,0.7022256691591602,47,9,2025-02-19,1,6.56,6.38,22,6.07,11.76,十字,,,,,,,,,,,,,,,,,,,,B,241211.0,2025-02-19,0,1
B241211-1-1# M7,1,12.32,22,19.8,-873.0,M7,1.0,1.0,,0.9512590114102056,47,10,2025-02-19,1,5.85,6.47,22,5.16,11.1,激光,,,,,,,,,,,,,,,,,,,,B,241211.0,2025-02-19,1,1
